INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (01)											
											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								
5	LICENSING OFFICE, IGOSUN	005	935								
6	METHODIST PRIMARY SCHOOL N5(NTA) I	006	1486								08168563429
7	METHODIST PRIMARY SCHOOL N5(NTA) II	007	915								
8	SALVATION ARMY SCHOOL, KUBE	008	887								
9	ODO ALAGBAFO I	009	820								
10	ODO ALAGBAFO II	010	837								
11	SLAUGHTER SLAB	011	983								
12	ST. JOHN PRIMARY SCHOOL	012	1110								
13	OWOTUTU HOUSE	013	825								
14	OPPOSITE ALI‐IWO COMPOUND	014	1302								09060611088
15	LOCAL GOVERNMENT DISPENSARY AGODI	015	1097								
16	C.A.C. IGOSUN I	016	583								
17	C.A.C. IGOSUN II	017	707								
18	OMIKUNLE COMPOUND	018	565								
19	OTUN COMPOUND	019	813								
20	I.M.G. IGOSUN	020	1092								
21	IDI‐OMO MOSQUE	021	875								
22	IDI‐OMO ROAD, ITUTABA	022	656								
23	IDI‐OMO, ITUTABA	023	665								
24	JAGUNMOLU, ITUTABA	024	795								
25	AKINTOYE STREET, ITUTABA	025	809								
26	AJIBODU STREET, ITUTABA I	026	874								
27	AJIBODU ROAD/IREFIN JUNCTION	027	870								
28	AJIBODU ROAD, ITUTABA	028	690								
29	AJIBODU STREET, ITUTABA II	029	904								
30	OPEN SPACE CLOSE TO IDI-TAP	030	29								
31	OPPOSITE M.M. GAS AYAJAMOGIRI	031	60								
32	OPEN SPACE OPPOSITE IN FRONT OF OLA ADURA SHOE WORKS, OKE COMPOUND	032	52								
33	OPEN SPACE OPPOSITE BESIDE ARIYIBI MOSQUE LICENSING MOSQUE LICENSING OFFICE AREA IGOSUN 	033	67								
34	OPEN SPACE IN FRONT OF SCHOOL ADMIN. BLOCK METHODIST PRIMARY SCHOOL N5 NTA I	034	52								
35	OPEN SPACE ASSEMBLY GROUND, METHODIST PRIMARY SCHOOL N5 (NTA) 1	035	110								
36	OPEN SPACE BESIDE GATE, METHODIST PRIMARY SCHOOL N5 (NTA) II	036	84								
37	IN FRONTOF ADMIN. BLOCK, SALVATION ARMY KUBE 	037	66								
38	MECHANIC VILLAGE JUNCTION, ODO ALAGBAFO I	038	23								
39	OPEN SPACE AT MECHANIC VILLAGE, ODO-ALAGBAFO II 	039	36								
40	OPPOSITE GOD'S WAY EVANGLICAL MINISTRY, ATENDA	040	41								
41	OPEN SPACE BESIDE ST. JOHN'S PRIMARY SCHOOL I GATE	041	78								
42	OPEN SPACE CLOSE TO OWO TUTU'S HOUSE	042	38								
43	BESIDE LAVISH HEALTH PHARMACY OPPOSSITE ALI-IWO COMPOUND STREET 	043	87								
44	GOLDEN END CHILDREN SCHOOL OPPOSITE ALI-IWO COMPOUND 	044	79								
45	OPEN SPACE BESIDE L.G. DISPENSARY CLOSE TO AGODI GATE BUS STOP	045	68								
46	OPEN SPACE ORIYANGI CLOSE TO OTUN COMPOUND IGOSUN	046	92								
47	OPEN SPACE BESIDE I.M.G. BASIC SCHOOL II GATE	047	67								
48	IN FRONT OF BAKERY HOUSE CLOSE TO IDI OMO MOSQUE	048	206								
49	OPEN SPACE IN FRONT OF OLA-ADURA SHOE WORKS	049	11								
50	BESIDE NEW SHOPPING COMPLEX AKINTOYE STREET, ITUTABA	050	46								
51	CLOSE TO ASAWALE MOSQUE AJIBODU STREET, ITU-TABA	051	116								
52	BESIDE MAST IREFIN JUNCTION, AJIBODU ROAD	052	33								
53	AJIBODU COMPOUND AREA	053	137								
			26799								
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (05)											
											
