INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (01)											
											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								
30	SULTAN BELLO HALL U.I.	030	602								
31	IN FRONT OF A.S.U OFFICE U. I IBADAN	031	31								
32	IN FRONT OF TEDDER HALL BUS STOP	032	180								
33	IN FRONT OF NNAMDI AZIKWE GATE U.I.	033	70								
34	IN FRONT OF MINI MARKET, OPP. NNAMDI AZIKWE GATE U.I	034	29								
35	BESIDE INDEPENDENCE HALL U.I	035	53								
36	IN FRONT OF QUARTERS BEHIND INDEPENDENCE HALL U.I	036	160								
37	BLOCK C, INDEPENDENCE HALL, ZIK HOSTLE ROAD U.I IBADAN	037	402								
38	ABDUL SALAMI ABUBAKAR POST GRADUATE HALL, IDIA BUSSTOP	038	436								
39	IN FRONT OF DEEPER LIFE CAMPUS FELLOWSHIP BESIDE AWO HALL	039	39								
40	AWOLOWO HALL, BUS STOP U.I IBADAN	040	719								
41	POSTAL AGENCY ABADINA U.I.	041	452								
42	INFRONT OF ADMINISTRATION BLOCK ABADINA PTY SCH III	042	553								
43	COCKPIT JUNCTION, AERODROME ESTATE	043	468								
			23624								
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (12)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	ALONG ADEOYE STREET, AGBOWO	001	908								7034714753
2	IN FRONT OF BARIKA HOTEL	002	952								7019053989
3	ALONG AJETUNMOBI STREET	003	901								8024292433
4	ANSARUDEEN I	004	892								
5	ANSARUDEEN II	005	625								
6	OPPOSITE AJEGUNLE BAPTIST CHURCH	006	394								
7	BESIDE 2 BROTHERS, OJOKONDO	007	750								
8	NEPA TRANSFORMER, AGBOWO	008	929								
9	ST. THOMAS PRIMARY SCHOOL, AGBOWO	009	891								
10	BESIDE IKE‐OLUWA MOSQUE I	010	257								
11	BESIDE IKE‐OLUWA MOSQUE II	011	750								
12	IRAWO JUNCTION, AGBOWO	012	750								
13	ABA APATA I	013	717								
14	ABA APATA II	014	471								
15	IN FRONT OF NEW APOSTOLIC CHURCH	015	750								
16	ALHAJI SALAWU SANUSI STREET I	016	750								
17	ALHAJI SALAWU SANUSI STREET II	017	459								
18	ZONAL HEALTH CENTRE, BODIJA I	018	725								
19	ZONAL HEALTH CENTRE, BODIJA II	019	723								
20	ZONAL HEALTH CENTRE, BODIJA	020	667								
21	OGUNYASE STREET, AGBOWO	021	603								
22	FARAYOLA STREET I	022	750								
23	FARAYOLA STREET II	023	750								
24	TUNAKIN PHOTO	024	609								
25	KARA BODIJA	025	750								
26	LEAGUE OF IMAMS	026	..675								
27	IN FRONT OF ORISUN CATERING	027	704								
28	OPPOSITE GOODDY TECHNICAL	028	637								
29	IREPODUN STREET, NEAR GODDY	029	624								
30	IYANA BODIJA ALONG EXPRESS	030	779								
31	CONFERENCE HALL, BODIJA	031	767								
32	METHODIST SCHOOL I, BODIJA	032	961								
33	OLIVE PRIMARY SCHOOL	033	739								
34	OLIVE PRIMARY SCHOOL I	034	697								
35	ALHAJI EWENLA STREET	035	663								
36	BACK OF AGBOWO SHOPPING COMPLEX	036	917								
37	ISO PAKO BODIJA	037	943								
38	BODIJA MARKET/EXPRESS JUNCTION	038	837								
39	YIDI PRAYING GROUND, APATA	039	676								
40	ADEDOKUN STREET	040	485								
41	BESIDE CELESTIAL CHURCH NEAR YEMOJA STREAM (AGBOWO)	041	645								
42	AKINBODE STREET (AGBOWO)	042	750								
43	BESIDE OGO OLUWA MOSQUE ALONG ADEOYO STREET	043	108								
44	OPPOSITE SOLOMON OLAYIWOLA SHOPPING COMPLEX, BARIKA	044	128								
45	BESIDE TAWAKALITU CENTRAL MOSQUE ALONG AJETUNMOBI	045	99								
46	TRANSFORMER, KAJOLA BUS STOP	046	120								
47	OPPOSITE BAPTIST HIGH SCHOOL, OJOKONDO	047	77								
48	ADELOVE JUNCTION NEPA TRANSFORMER	048	258								
49	INFRONT OF ADMIN BLOCK ST. THOMAS PRIMARY SCHOOL	049	61								
50	UNDER TREE INFRONT OF IYA IBADAN HOUSE	050	59								
51	INFRONT OF IRAWO UNIVERSITY	051	36								
52	BESIDE OLAITAN COTTAGE	052	114								
53	OPPOSITE COMFORT VILLA ALH. SALAWU SANUSI STREET AGBOWO	053	345								
54	INFRONT OF BAALE BODIJA IREPODUN IN COUNCIL	054	34								
55	BESIDE GOD-WILL-DO-IT MINISTRIES FARAYOLA LAYOUR	055	456								
56	BESIDE AS-SABBAQ SCHOOL, BODIJA	056	404								
57	BESIDE OJOLOWO FOOD CANTEEN, KARA	057	308								
58	INFRONT OF AKILAPA MOSQUE, BODIJA	058	102								
59	INFRONT OF ADMINISTRATION BLOCK METHODIST SCHOOL I, BODIJA	059	114								
60	UNDER TREE BEHIND AGBOWO SHOPPING COMPLEX	060	106								
61	IDI-IROKO ISO PAKO	061	82								
62	BODIJA EXPRESS JUNCTION	062	134								
63	OPPOSITE HOLINESS BIBLE CHURCH, AKINBODE STREET	063	137								
			33504								
